id;bulletin_year;bulletin_nr;office;search_type;mailed_date;publn_auth;publn_nr;publn_kind;publn_date;publn_lg
80301784;1980;25;"EP";"NAT";9999-12-31;"EP";"0020146";"A1";1980-12-10;"en"
80303345;0;0;"EP";"SUP";1981-01-19;"  ";"";"  ";9999-12-31;"  "
14793478;2015;18;"EP";"ISR";9999-12-31;"WO";"2015062957";"A1";2015-05-07;"de"
14800380;0;0;"EP";"SUP";2017-02-23;"  ";"";"  ";9999-12-31;"  "
88302234;0;0;"EP";"SUP";1989-05-02;"  ";"";"  ";9999-12-31;"  "
88302234;1989;25;"EP";"NAT";9999-12-31;"EP";"0284271";"A3";1989-06-21;"en"
15730051;2015;51;"EP";"ISR";9999-12-31;"WO";"2015192856";"A1";2015-12-23;"en"
15734338;2016;1;"EP";"ISR";9999-12-31;"WO";"2016001196";"A1";2016-01-07;"fr"
14908701;0;0;"EP";"SUP";2018-04-24;"  ";"";"  ";9999-12-31;"  "
14908701;2016;26;"CN";"ISR";9999-12-31;"WO";"2016101130";"A1";2016-06-30;"en"
96810231;1996;44;"EP";"NAT";9999-12-31;"EP";"0740402";"A1";1996-10-30;"de"
3000411;0;0;"EP";"SUP";2003-07-14;"  ";"";"  ";9999-12-31;"  "
8777601;2010;1;"JP";"ISR";9999-12-31;"WO";"2009157070";"A1";2009-12-30;"ja"
12740580;2013;5;"EP";"ISR";9999-12-31;"WO";"2013014202";"A1";2013-01-31;"en"
8761475;0;0;"EP";"SUP";2016-05-03;"  ";"";"  ";9999-12-31;"  "
8761475;2009;17;"ES";"ISR";9999-12-31;"WO";"2009050311";"A1";2009-04-23;"es"
12753580;2013;9;"EP";"ISR";9999-12-31;"WO";"2013027048";"A1";2013-02-28;"en"
12757515;0;0;"EP";"SUP";2014-11-03;"  ";"";"  ";9999-12-31;"  "
14792478;2015;18;"EP";"ISR";9999-12-31;"WO";"2015063215";"A1";2015-05-07;"de"
14792627;2015;13;"EP";"ISR";9999-12-31;"WO";"2015048342";"A2";2015-04-02;"en"
3717668;0;0;"EP";"SUP";2007-09-24;"  ";"";"  ";9999-12-31;"  "
3717668;2003;45;"JP";"ISR";9999-12-31;"WO";"03092109";"A1";2003-11-06;"en"
5008695;0;0;"EP";"SUP";2009-06-08;"  ";"";"  ";9999-12-31;"  "
5008695;2009;28;"EP";"NAT";9999-12-31;"EP";"1589630";"A3";2009-07-08;"  "
13171276;2017;41;"EP";"NAT";9999-12-31;"EP";"2675044";"A3";2017-10-11;"de"
13175120;0;0;"EP";"SUP";2017-01-20;"  ";"";"  ";9999-12-31;"  "
14176502;2015;12;"EP";"NAT";9999-12-31;"EP";"2806523";"A3";2015-03-18;"de"
14179310;0;0;"EP";"SUP";2015-06-30;"  ";"";"  ";9999-12-31;"  "
12711844;2012;44;"EP";"ISR";9999-12-31;"WO";"2012146447";"A1";2012-11-01;"en"
12712694;2012;42;"EP";"ISR";9999-12-31;"WO";"2012140062";"A2";2012-10-18;"en"
12748168;2013;18;"EP";"ISR";9999-12-31;"WO";"2013060399";"A1";2013-05-02;"de"
12756205;2013;11;"EP";"ISR";9999-12-31;"WO";"2013034739";"A1";2013-03-14;"de"
7009187;0;0;"EP";"SUP";2007-09-24;"  ";"";"  ";9999-12-31;"  "
7009187;2008;46;"EP";"NAT";9999-12-31;"EP";"1990178";"A1";2008-11-12;"en"
14800479;2014;48;"US";"ISR";9999-12-31;"WO";"2014190135";"A1";2014-11-27;"en"
14802092;2015;16;"EP";"ISR";9999-12-31;"WO";"2015055962";"A1";2015-04-23;"fr"
9180415;2011;13;"EP";"NAT";9999-12-31;"EP";"2206915";"A3";2011-03-30;"  "
9425037;0;0;"EP";"SUP";2009-05-14;"  ";"";"  ";9999-12-31;"  "
