id;appeal_date;appeal_nr;phase;date_state_grounds_filed;date_interloc_revision;result;result_date
12178689;2017-07-11;"T1681/17-3204";"opposition";2017-09-22;9999-12-31;"";9999-12-31
12785451;2016-03-31;"J0013/16-3101";"examination";2016-06-01;9999-12-31;"REJECTION OF APPEAL";2017-12-14
4753821;2012-09-11;"T1921/12-3207";"opposition";2012-11-16;9999-12-31;"REVOCATION OF THE PATENT";2016-10-26
2787103;2012-05-24;"T1163/12-3204";"opposition";2012-07-20;9999-12-31;"MAINTENANCE IN AMENDED FORM";2016-06-27
95933222;2004-07-12;"T0890/04-3204";"opposition";2004-09-27;9999-12-31;"MAINTENANCE IN AMENDED FORM";2006-12-15
14776115;2018-02-12;"T1129/18-3401";"examination";2018-04-10;9999-12-31;"";9999-12-31
81400049;1984-03-16;"";"examination";1984-04-05;1984-05-14;"";9999-12-31
99952711;2008-03-12;"T0549/08-3309";"opposition";2008-05-23;9999-12-31;"MAINTENANCE IN AMENDED FORM";2009-11-05
89402417;1995-04-25;"T0404/95-3201";"opposition";1995-06-29;9999-12-31;"APPEAL OF OPPONENT REJECTED";1996-12-10
99303229;2005-09-05;"T1181/05-3201";"opposition";2005-11-07;9999-12-31;"APPEAL OF OPPONENT REJECTED";2007-06-05
5000115;2011-02-23;"T1444/11-3204";"examination";2011-04-29;9999-12-31;"APPEAL OF APPLICANT REJECTED";2013-05-16
3711857;2017-04-27;"T0993/17-3204";"opposition";2017-07-07;9999-12-31;"";9999-12-31
3711857;2017-05-05;"T0993/17-3204";"opposition";2017-07-06;9999-12-31;"";9999-12-31
91122318;1998-01-13;"T0044/98-3201";"opposition";1998-02-24;9999-12-31;"APPEAL OF OPPONENT REJECTED";1999-09-30
8749196;2015-12-02;"T2338/15-3204";"opposition";2016-02-09;9999-12-31;"";9999-12-31
11175580;2016-01-08;"T0057/16-3204";"opposition";2016-04-20;9999-12-31;"";9999-12-31
99953725;2009-09-30;"T1965/09-3204";"opposition";2009-12-03;9999-12-31;"MAINTENANCE IN UNAMENDED FORM";2012-09-25
97916429;2002-05-15;"T0942/02-3204";"examination";2002-08-06;9999-12-31;"REMITTAL FOR GRANT";2003-06-11
96401282;1999-06-10;"T0842/99-3402";"examination";1999-07-23;9999-12-31;"APPEAL OF APPLICANT REJECTED";2002-06-10
99202547;2009-08-18;"T1757/09-3309";"opposition";9999-12-31;9999-12-31;"WITHDRAWAL OF APPEAL OF THE PATENT PROPRIETOR";2009-11-12
82108589;1986-03-21;"";"examination";9999-12-31;1986-08-11;"";9999-12-31
10179687;2017-12-21;"T2793/17-3204";"opposition";2018-02-27;9999-12-31;"";9999-12-31
11700788;2018-04-09;"T0923/18-3204";"opposition";9999-12-31;9999-12-31;"";9999-12-31
98906142;2004-04-07;"T0959/04-3309";"examination";2004-06-18;9999-12-31;"APPEAL OF APPLICANT REJECTED";2006-11-21
11186751;2017-02-17;"T0573/17-3309";"opposition";2017-04-18;9999-12-31;"";9999-12-31
11701227;2016-12-21;"T0039/17-3502";"opposition";2017-03-20;9999-12-31;"";9999-12-31
90114610;1994-01-24;"T0919/95-3202";"examination";1994-04-13;9999-12-31;"REMITTAL FOR GRANT";1997-01-16
