id;ipc_text;change_date;bulletin_year;bulletin_nr
10829147;"F03D3/00, F03D3/06";2014-03-28;2014;18
10838771;"H02J3/38, G06Q50/00, H02J3/46, H02J7/35";2012-09-28;2012;44
84114130;"B08B3/02";1985-04-12;1985;24
84114130;"B08B3/02, F24J3/00";1986-12-15;1987;6
84307430;"F16H1/28";1985-08-02;1985;40
10829978;"F16C29/02, F03D1/00, F03D11/00, F16C21/00, F16C29/06";2012-08-17;2012;38
10829978;"F16C29/02, F03D1/00, F03D11/00, F16C21/00, F16C29/06, F16C29/00";2013-04-26;2013;22
84300499;"B21C37/06, B21D51/16, F16L9/18";1984-10-05;1984;49
84304308;"B29C67/14, D02G3/16, D02G3/40, D03D15/00";1985-02-22;1985;17
5727219;"H02P9/04, F03D9/00";2008-04-18;2008;21
5727219;"H02P9/04, F03D9/00, H02K21/02";2012-08-03;2012;36
84109029;"C07C11/24, C10J3/18";1985-01-12;1985;11
84109029;"C07C11/24, C10J3/46, C10J3/18";1985-12-05;1986;6
14786123;"F03B13/00, F03D9/00, F15B21/14, F03B17/00, H02J15/00";2016-07-01;2016;31
14786489;"B21F27/12, F03D1/00";2016-09-09;2016;41
10826125;"F03D11/04";2012-08-03;2012;36
10826125;"F03D11/04, F03D1/00";2014-06-20;2014;30
10828497;"F03D1/02, F03D11/02";2012-08-24;2012;39
10837424;"F03D11/00";2012-09-21;2012;43
14789370;"F03D3/04, F03D3/02";2016-04-15;2016;20
14790123;"F16D55/224, F16D65/18, F16D125/04, F16D125/06";2016-04-08;2016;19
10829121;"F01D1/36";2012-08-10;2012;37
10830907;"G06F19/00";2012-08-24;2012;39
10830907;"G06F19/00, G05B23/02, F03D11/00, F03D7/04";2013-03-22;2013;17
10832503;"B63B27/00, F03D1/00";2012-08-31;2012;40
10839566;"F03D11/00, F03D1/06";2012-09-28;2012;44
10839566;"F03D1/06";2014-04-25;2014;22
10839925;"F03D3/06";2012-08-10;2012;37
14810180;"F15B15/08, F15B20/00";2016-03-18;2016;16
14810180;"F15B15/08, F15B20/00, F15B11/12, F15B15/18, B63B21/66, F15B11/16, F15B13/06, F15B13/10, F15B11/18";2016-12-09;2017;2
5741947;"F03B1/00";2006-12-01;2007;1
10820931;"F03D9/00";2012-07-06;2012;32
10820931;"F03D9/00, B64D15/12, B64C11/48, F02K3/072, H02K7/18, B64D27/00, B64D27/02";2016-08-12;2016;37
10832677;"F03D7/02, F15B1/00";2012-09-28;2012;44
10832677;"F03D7/02, F03D11/00, F03D1/06";2014-05-16;2014;25
10816757;"H02J3/00, H02J3/14, G06F1/26, // H02J3/38, H02J3/32";2017-10-06;2017;45
10824143;"F24J2/12";2012-07-20;2012;34
10835513;"E02B17/02, E03D1/00";2012-09-14;2012;42
14789158;"F03D13/00";2016-07-29;2016;35
14800479;"F03D3/00, H02K21/26";2016-02-26;2016;13
10839659;"C08K3/04, C08G73/06, C01B31/02, C08J3/02, C08L79/04";2011-07-15;2011;33
10839659;"C08K3/04, C08G73/06, C01B31/02, C08J3/02, C08L79/04, B82Y30/00, B82Y40/00, C01B31/04, C08L79/02";2014-06-27;2014;31
14801806;"B32B7/02, B32B27/08, B65D65/40, B32B15/08, B32B27/32, B32B27/18, B32B27/30, B32B27/34";2017-07-07;2017;32
10834105;"F03B13/24, F01D9/04, F03B15/00, F01D1/04, F01D17/10";2013-09-06;2013;41
10834105;"F03B13/24, F03B15/00, F03B11/00, F03B13/14";2017-01-20;2017;8
14786154;"H02M1/32, H02H7/122, H02H9/04, H02J3/26";2017-05-19;2017;25
14805172;"H02J3/38, F03D7/04";2016-09-16;2016;42
10830023;"F02C7/00, F01D5/18, F01D5/28, F01D9/02, F01D25/00, F04D29/38, F04D29/54";2012-08-17;2012;38
