id;bulletin_year;bulletin_nr;publn_auth;publn_nr;publn_kind;publn_date;publn_lg
5720483;2005;38;"WO";"2005088144";"A1";2005-09-22;"en"
5720483;2006;47;"EP";"1724478";"A1";2006-11-22;"en"
8788024;2008;45;"WO";"2008132376";"A1";2008-11-06;"fr"
8788024;2009;52;"EP";"2134604";"A1";2009-12-23;"fr"
8777601;2010;1;"WO";"2009157070";"A1";2009-12-30;"ja"
8777601;2011;10;"EP";"2293307";"A1";2011-03-09;"en"
11815900;2013;25;"EP";"2603641";"A1";2013-06-19;"en"
11817197;2013;13;"WO";"2013042250";"A1";2013-03-28;"ja"
11822882;2013;44;"EP";"2655874";"A1";2013-10-30;"de"
11822882;2015;23;"EP";"2655874";"B1";2015-06-03;"de"
5705126;2005;30;"WO";"2005069689";"A2";2005-07-28;"en"
5705126;2006;38;"EP";"1702499";"A2";2006-09-20;"en"
8791247;2010;14;"EP";"2172665";"A1";2010-04-07;"en"
8794056;2009;11;"WO";"2009031926";"A1";2009-03-12;"ru"
8784436;2009;10;"WO";"2009026929";"A1";2009-03-05;"en"
8784436;2010;24;"EP";"2195525";"A1";2010-06-16;"en"
8783356;2009;7;"WO";"2009018666";"A1";2009-02-12;"en"
8783356;2010;20;"EP";"2185810";"A1";2010-05-19;"en"
8774205;2009;1;"WO";"2009000787";"A2";2008-12-31;"en"
8774205;2010;9;"EP";"2158402";"A2";2010-03-03;"en"
5705126;2016;25;"EP";"1702499";"B1";2016-06-22;"en"
5716658;2005;34;"WO";"2005078277";"A2";2005-08-25;"de"
11817197;2013;21;"EP";"2594791";"A1";2013-05-22;"en"
11817197;2015;28;"EP";"2594791";"B1";2015-07-08;"en"
5717196;2007;19;"EP";"1783411";"A1";2007-05-09;"en"
8774474;2009;50;"WO";"2009146753";"A1";2009-12-10;"de"
8774205;2017;17;"EP";"2158402";"B1";2017-04-26;"en"
8776077;2009;12;"WO";"2009034292";"A2";2009-03-19;"en"
8777601;2017;32;"EP";"2293307";"B1";2017-08-09;"en"
8785306;2009;7;"WO";"2009018976";"A1";2009-02-12;"de"
1902660;2009;32;"EP";"1365106";"B1";2009-08-05;"en"
1915792;2002;40;"WO";"02077449";"A1";2002-10-03;"en"
8776077;2010;25;"EP";"2198152";"A2";2010-06-23;"en"
8776077;2017;20;"EP";"2198152";"B1";2017-05-17;"en"
8783356;2016;39;"EP";"2185810";"B1";2016-09-28;"en"
8784435;2009;10;"WO";"2009026928";"A2";2009-03-05;"en"
8793841;2010;16;"EP";"2176541";"A1";2010-04-21;"en"
11815972;2012;7;"WO";"2012019307";"A1";2012-02-16;"en"
14846106;2018;16;"EP";"3047139";"B1";2018-04-18;"en"
81108462;1982;19;"EP";"0051194";"A1";1982-05-12;"de"
8794056;2010;21;"EP";"2189652";"A1";2010-05-26;"en"
11815689;2012;20;"WO";"2012062309";"A2";2012-05-18;"de"
11819588;2016;40;"EP";"2610173";"B1";2016-10-05;"en"
11832841;2012;16;"WO";"2012050514";"A1";2012-04-19;"en"
8784436;2016;40;"EP";"2195525";"B1";2016-10-05;"en"
8784959;2009;5;"WO";"2009012977";"A2";2009-01-29;"de"
5716658;2006;44;"EP";"1716333";"A2";2006-11-02;"de"
5716658;2017;32;"EP";"1716333";"B1";2017-08-09;"de"
8788024;2012;2;"EP";"2134604";"B1";2012-01-11;"fr"
8788024;2012;18;"EP";"2134604";"B9";2012-05-02;"  "
11814760;2012;6;"WO";"2012018137";"A1";2012-02-09;"ja"
11814760;2013;24;"EP";"2602307";"A1";2013-06-12;"en"
11815972;2013;25;"EP";"2603692";"A1";2013-06-19;"en"
11817193;2013;16;"WO";"2013054404";"A1";2013-04-18;"ja"
1890307;2002;21;"EP";"1205662";"A3";2002-05-22;"  "
1908023;2001;32;"WO";"0157398";"A1";2001-08-09;"en"
8784435;2010;25;"EP";"2198154";"A2";2010-06-23;"en"
