id;set_seq_nr;bulletin_year;bulletin_nr;type;seq_nr;country
9730599;3;2016;35;"A";2;"PL"
1108887;7;2006;12;"A";2;"BE"
9764098;3;2016;35;"A";2;"IS"
99929583;2;0;0;"A";2;"GB"
8870460;1;2010;39;"A";2;"IT"
13167112;2;2014;9;"A";2;"IT"
7104727;3;0;0;"A";1;"DE"
8075047;4;2011;1;"A";1;"IS"
4292801;1;2006;22;"A";3;"HU"
9764098;4;0;0;"A";2;"LT"
98908040;1;1999;47;"A";1;"LI"
7076134;4;2014;28;"A";1;"ES"
7076110;4;2012;13;"A";1;"SI"
6425372;2;2008;19;"A";1;"LU"
8075047;5;2011;18;"A";1;"MC"
9744485;3;0;0;"A";2;"MT"
4292801;2;2006;29;"A";5;"TR"
8870460;3;2014;9;"A";2;"CY"
92119133;1;1993;23;"A";2;"GB"
13167112;3;0;0;"A";2;"FR"
8870460;2;2013;39;"A";2;"PT"
9744485;2;2014;9;"A";2;"NO"
9730599;3;2016;35;"A";2;"LV"
86114395;1;1988;16;"A";2;"GB"
98908040;2;2001;32;"A";2;"AT"
86114395;2;0;0;"A";1;"DE"
8075047;5;2011;18;"A";1;"IT"
7076110;4;2012;13;"A";1;"NL"
8075047;4;2011;1;"A";1;"DE"
9744485;3;0;0;"A";2;"SK"
7076111;2;2010;35;"A";1;"SI"
8870460;3;2014;9;"A";2;"FR"
7076110;4;2012;13;"A";1;"AT"
13167112;2;2014;9;"A";2;"MC"
4292801;1;2006;22;"A";1;"FR"
6126121;4;0;0;"A";1;"DE"
91113634;1;1992;10;"A";1;"DE"
8075047;5;2011;18;"A";1;"CZ"
12152566;2;0;0;"A";2;"RO"
13167112;2;2014;9;"A";2;"EE"
8870460;1;2010;39;"A";2;"HU"
12152566;2;0;0;"A";2;"DK"
81890064;2;0;0;"A";1;"FR"
12152566;2;0;0;"A";2;"HR"
9744485;3;0;0;"A";2;"CZ"
98913566;1;1999;49;"A";1;"SE"
79301012;1;1980;8;"A";2;"DE"
8870460;2;2013;39;"A";2;"CH"
7076134;4;2014;28;"A";1;"IT"
1108887;8;2006;29;"A";2;"GR"
94810654;4;1999;9;"A";1;"SE"
10814644;3;2016;18;"A";3;"PT"
11726665;1;2013;7;"A";1;"CZ"
92119133;2;0;0;"A";1;"DE"
12152566;2;0;0;"A";2;"FI"
98908040;3;0;0;"A";1;"GR"
10814644;3;2016;18;"A";4;"AL"
94810654;5;0;0;"A";1;"GR"
11726665;1;2013;7;"A";1;"CH"
9744485;2;2014;9;"A";2;"PL"
8075047;3;2010;49;"A";1;"HU"
8075047;3;2010;49;"A";1;"SE"
79301012;3;1982;23;"A";2;"DE"
11726665;2;2013;40;"A";1;"BE"
13167112;3;0;0;"A";2;"CH"
12152566;2;0;0;"A";2;"DE"
99929583;1;2001;21;"A";2;"GB"
13167112;3;0;0;"A";2;"MK"
11726665;1;2013;7;"A";1;"IS"
11726665;1;2013;7;"A";1;"LV"
4292801;2;2006;29;"A";2;"DK"
13167112;2;2014;9;"A";2;"DK"
6126121;4;0;0;"A";1;"GB"
12152566;1;2013;31;"A";2;"BE"
9764098;3;2016;35;"A";2;"MC"
9764098;2;2014;10;"A";2;"RO"
7076134;4;2014;28;"A";1;"IE"
7107189;1;2007;44;"A";1;"GB"
9764098;3;2016;35;"A";2;"SI"
8075047;4;2011;1;"A";1;"GR"
12152566;1;2013;31;"A";2;"FI"
13167112;3;0;0;"A";2;"IE"
9730599;4;2017;29;"A";2;"RO"
9764098;4;0;0;"A";2;"PL"
1610082;2;0;0;"A";1;"ES"
8075047;4;2011;1;"A";1;"GB"
10814644;3;2016;18;"A";4;"IT"
8075047;5;2011;18;"A";1;"ES"
8075047;5;2011;18;"A";1;"LI"
98908040;2;2001;32;"A";1;"SE"
89112803;1;1990;6;"A";1;"SE"
12152566;2;0;0;"A";2;"ES"
12152566;2;0;0;"A";2;"GR"
7076111;2;2010;35;"A";1;"DE"
4292801;3;2017;4;"A";4;"CZ"
9730599;4;2017;29;"A";2;"NL"
7076111;2;2010;35;"A";1;"PL"
10814644;3;2016;18;"A";3;"MC"
9764098;3;2016;35;"A";2;"TR"
9764098;3;2016;35;"A";2;"HR"
12152566;1;2013;31;"A";2;"GB"
8870460;1;2010;39;"A";2;"SE"
81890064;2;0;0;"A";1;"LI"
7076134;4;2014;28;"A";1;"SI"
8075047;3;2010;49;"A";1;"CZ"
13167112;3;0;0;"A";2;"ES"
91113634;2;2004;34;"A";1;"LI"
98908040;2;2001;32;"A";1;"IE"
8075047;5;2011;18;"A";1;"GB"
98908040;3;0;0;"A";1;"LU"
98913566;2;2001;32;"A";1;"MC"
10814644;3;2016;18;"A";3;"AL"
98913566;3;0;0;"A";1;"LI"
13167112;2;2014;9;"A";2;"HR"
94810654;4;1999;9;"A";1;"IT"
9764098;3;2016;35;"A";2;"ES"
