id;bulletin_year;bulletin_nr;licensee_seq_nr;licensee_country
11703242;2013;25;"01";"HU"
10788117;2013;25;"01";"LU"
7705633;2008;34;"01";"TR"
11710901;2013;17;"01  01";"BG"
5766122;2010;52;"01";"IE"
9290794;2013;40;"01";"RO"
9009059;2014;13;"01";"PL"
10742603;2013;29;"01";"AL"
9735221;2013;25;"01";"TR"
11703242;2013;25;"01";"RS"
11703242;2013;25;"01";"BE"
8715664;2014;30;"03  01";"LV"
13892077;2016;17;"01";"LT"
4727186;2008;2;"01  00";"CH"
4727187;2008;2;"01  00";"BG"
8715664;2014;30;"02  01";"SI"
9785200;2013;25;"01";"BG"
4727187;2008;2;"01  00";"PT"
11710901;2013;17;"01  01";"DE"
11703242;2013;25;"01";"MC"
5766122;2010;42;"01";"SK"
5773954;2008;34;"01";"FR"
4727188;2008;2;"01  00";"CY"
3405133;2005;3;"01";"MC"
14837373;2018;17;"01";"BE"
9009059;2014;13;"01";"ES"
10742603;2013;29;"01";"TR"
5796256;2010;45;"01  01";"CZ"
11804640;2015;24;"01  01";"HR"
6076187;2009;36;"01";"NL"
4447286;2006;32;"01  00";"SE"
6076187;2009;36;"01";"BG"
8776077;2013;25;"01";"CZ"
5766122;2010;52;"02";"GB"
10742603;2014;9;"01  01";"MT"
7705633;2008;34;"01";"ES"
11731468;2013;25;"01";"GB"
13892077;2016;17;"01";"IT"
10788117;2013;25;"01";"FR"
13892077;2016;17;"01";"ES"
15794271;2018;21;"01  00";"BG"
10742603;2014;9;"01  01";"DK"
15794271;2018;21;"01  00";"LV"
5000115;2008;34;"01";"CY"
5766122;2010;52;"01";"SE"
15794271;2018;21;"01  00";"NO"
15794271;2018;21;"01  00";"RO"
4727188;2008;2;"01  00";"PL"
13892077;2016;17;"01";"PT"
10742603;2014;9;"01  01";"FR"
11703242;2013;25;"01";"BG"
11719360;2013;25;"01";"GR"
9009058;2014;13;"01";"CZ"
9290794;2013;40;"01";"ES"
9290794;2013;40;"01";"SM"
6076187;2009;36;"01";"DE"
5766122;2010;52;"01";"FR"
13892077;2016;17;"01";"HU"
8701733;2012;6;"01";"MC"
9290794;2013;40;"01";"BG"
5766122;2010;42;"01";"DK"
9009058;2014;13;"01";"BG"
11731468;2013;25;"01";"AL"
10788117;2013;25;"01";"NL"
7705633;2008;34;"01";"AT"
11703242;2013;25;"01";"LT"
3405133;2005;3;"01";"DE"
13892077;2016;17;"01";"EE"
14837373;2018;17;"01";"SE"
7705633;2008;34;"01";"IT"
9735221;2013;25;"01";"LT"
4447286;2006;32;"01  00";"NL"
9290794;2013;40;"01";"LT"
11710901;2013;17;"01  01";"MT"
11290434;2013;40;"01";"BE"
4447286;2006;32;"01  00";"FI"
7705633;2008;34;"01";"GB"
8707361;2011;23;"01  01";"CY"
4727187;2008;2;"01  00";"SK"
6841815;2009;8;"01  01";"CH"
13892077;2016;17;"01";"PL"
4727188;2008;2;"01  00";"PT"
8715664;2014;30;"02  01";"SK"
10742603;2013;29;"01";"PT"
5766122;2010;52;"02";"CZ"
5766122;2010;52;"01";"ES"
9737113;2013;25;"01";"NL"
6841815;2009;8;"01  01";"EE"
4727188;2008;2;"01  00";"DE"
6841815;2009;8;"01  01";"IS"
6755831;2008;34;"01";"HU"
9725403;2013;25;"01";"DE"
9785200;2013;25;"01";"AT"
5796256;2010;45;"01  01";"MC"
11731468;2013;25;"01";"BG"
5000115;2008;34;"01";"FI"
9785200;2013;25;"01";"LV"
9009059;2014;13;"01";"SK"
11731468;2013;25;"01";"SK"
8715664;2014;30;"02  01";"NL"
8715664;2014;30;"01  01";"NO"
5766122;2010;52;"01";"MC"
10742603;2014;9;"01  01";"EE"
5773954;2008;34;"01";"LU"
9737113;2013;25;"01";"IE"
11710901;2013;17;"01  01";"FR"
11290434;2013;40;"01";"LT"
8715664;2014;30;"01  01";"IE"
9290794;2013;40;"01";"MC"
8715664;2011;23;"01  01";"GR"
8715664;2011;23;"01  01";"NO"
14837373;2018;17;"01";"CH"
5766122;2010;42;"01";"DE"
4727188;2008;2;"01  00";"HU"
11710901;2013;17;"01  01";"IT"
9009058;2014;13;"01";"CY"
5796256;2010;45;"01  01";"ES"
14837373;2018;17;"01";"NO"
13892077;2016;17;"01";"AL"
11767374;2015;24;"01  01";"SK"
3405133;2005;3;"01";"BE"
15794271;2018;21;"01  00";"SE"
8776077;2013;25;"01";"NO"
8707361;2011;23;"01  01";"SK"
11767374;2015;24;"01  01";"RS"
11731468;2013;25;"01";"LU"
8715664;2014;30;"02  01";"RO"
11703242;2013;25;"01";"MK"
5000275;2008;34;"01";"SE"
5000115;2008;34;"01";"FR"
9735221;2013;25;"01";"AT"
10742603;2013;29;"01";"PL"
11719360;2013;25;"01";"CY"
11710901;2013;17;"01  01";"LU"
4793855;2009;33;"01";"AT"
14837373;2018;17;"01";"MT"
8715664;2014;30;"02  01";"HR"
11703242;2013;25;"01";"TR"
10742603;2014;9;"01  01";"CZ"
3405133;2005;3;"01";"AT"
11290434;2013;40;"01";"EE"
5766122;2010;52;"01";"CH"
9009059;2014;13;"01";"BG"
13892077;2016;17;"01";"MC"
4447286;2006;32;"01  00";"IS"
82200582;0;0;"01  00";"LI"
10742603;2013;29;"01";"SE"
14837373;2018;17;"01";"IS"
9735221;2013;25;"01";"DK"
9725403;2013;25;"01";"BE"
11710901;2013;17;"01  01";"CY"
4727187;2008;2;"01  00";"CY"
11703242;2013;25;"01";"CH"
9737113;2013;25;"01";"DE"
90303340;0;0;"01  00";"NL"
4727188;2008;2;"01  00";"FR"
5000275;2008;34;"01";"SK"
5766122;2010;52;"02";"HU"
11804640;2015;24;"01  01";"SE"
4727186;2008;2;"01  00";"SE"
10742603;2014;9;"01  01";"IT"
8776077;2013;25;"01";"DE"
11719360;2013;25;"01";"BG"
9785200;2013;25;"01";"SK"
5766122;2010;42;"01";"RO"
11703242;2013;25;"01";"HR"
8707361;2011;23;"01  01";"PT"
9735221;2013;25;"01";"SI"
9737113;2013;25;"01";"LV"
5773954;2008;34;"01";"HU"
11290434;2013;40;"01";"ES"
11719360;2013;25;"01";"LV"
6755831;2008;34;"01";"LU"
5766122;2010;52;"02";"EE"
6076187;2009;36;"01";"PT"
8776077;2013;25;"01";"LV"
10788117;2013;25;"01";"RO"
6076187;2009;36;"01";"PL"
15794271;2018;21;"01  00";"AL"
